,Comedy,Adventure,Drama,Action,Animation,Documentary,Biography,Family,Crime,Fantasy,Musical,Horror,Western,Sci-Fi,Romance,History,Mystery,Thriller,Sport,News,Music
3779,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
259,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
893,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1803,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1563,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1281,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2279,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3710,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3469,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1210,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2843,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
847,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2533,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1373,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3487,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2820,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2529,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3568,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3799,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3614,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2256,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3658,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
507,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2823,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2216,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3011,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2741,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3849,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3794,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2440,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3402,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3713,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1446,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2345,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
759,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2249,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1427,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3023,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2313,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2548,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3089,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2651,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3573,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1642,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2344,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
654,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3557,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
382,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2661,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2157,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2399,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3858,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1613,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3433,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2828,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1084,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3466,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
570,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3624,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3163,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
343,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3269,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3726,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2996,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3223,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2456,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3560,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3811,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2067,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2526,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1569,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3757,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1752,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1027,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3914,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2478,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
176,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2941,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
422,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
680,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1926,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1550,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
572,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2298,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
288,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2592,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3565,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2564,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2579,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2505,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3395,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1672,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2555,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1340,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1173,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2304,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3306,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
198,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1731,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2980,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
874,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3738,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
581,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2963,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2954,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2034,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2437,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1537,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2620,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3362,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3376,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2159,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3608,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2886,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
742,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2868,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2528,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
921,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3651,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
756,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2329,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3830,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2650,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
