,index,id,image,title,description,runtimeStr,genres,genreList,contentRating,imDbRating,imDbRatingVotes,metacriticRating,plot,stars,starList,Genre_1,Genre_2,Genre_3
16,16,tt0099726,https://m.media-amazon.com/images/M/MV5BMjI5OTgwNTc3M15BMl5BanBnXkFtZTgwNDY1NTk4NjE@._V1_Ratio0.6763_AL_.jpg,Hamlet,1990,135 mins,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",PG,6.7,23418,53,"Hamlet, Prince of Denmark, finds out that his uncle Claudius killed his father to obtain the throne, and plans revenge.",,[],Drama,,
17,17,tt0100631,https://m.media-amazon.com/images/M/MV5BNTUwNDQ0ZDAtNjAxYi00NDY3LWE0OGEtMzU4MjIwYTU1MDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6763_AL_.jpg,Ski Patrol,1990,91 mins,"Action, Comedy, Sport","[{'key': 'Action', 'value': 'Action'}, {'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Sport', 'value': 'Sport'}]",PG,5.1,4080,13,A developer attempts to sabotage the safety record of a ski resort.,,[],Action, Comedy, Sport
18,18,tt0099327,https://m.media-amazon.com/images/M/MV5BMjExOTgwMDAwMV5BMl5BanBnXkFtZTYwMzY0MTI5._V1_Ratio0.7053_AL_.jpg,A Cry in the Wild,1990,82 mins,"Action, Adventure, Thriller","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Thriller', 'value': 'Thriller'}]",PG,5.8,1139,,"Adapted from Gary Paulsen's novel ""Hatchet"", a boy crash-lands in Canada's bear country and survives with a hatchet his divorced mother gave him.",,[],Action, Adventure, Thriller
19,19,tt0099073,https://m.media-amazon.com/images/M/MV5BMmJiM2JiNTMtYzllNy00ODZiLTkyMWMtMDA5MGQxYTExN2U4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_Ratio0.6763_AL_.jpg,Avalon,1990,128 mins,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",PG,7.2,6715,68,"A Polish-Jewish family comes to the U.S. at the beginning of the twentieth century. There, the family and their children try to make themselves a better future in the so-called promised land.",,[],Drama,,
20,20,tt0100281,https://m.media-amazon.com/images/M/MV5BNWEwMjVjMDktOGZkOS00MWJhLTk1OGEtMDY3YjI2OThjMTk4XkEyXkFqcGdeQXVyMjAxMjEzNzU@._V1_Ratio0.6763_AL_.jpg,The Nutcracker Prince,1990,75 mins,"Animation, Adventure, Family","[{'key': 'Animation', 'value': 'Animation'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Family', 'value': 'Family'}]",G,6.8,2640,,An adaption of the classic tale of a girl's dreams turned reality when her new toy turns out to be a young man placed under a curse.,,[],Animation, Adventure, Family
21,21,tt0100046,https://m.media-amazon.com/images/M/MV5BYzkxOWFhOWItOGZjZi00YmExLWE1ZmItMTU5NGI3NWU4Y2Y4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_Ratio0.6763_AL_.jpg,The Long Walk Home,1990,97 mins,"Drama, History","[{'key': 'Drama', 'value': 'Drama'}, {'key': 'History', 'value': 'History'}]",PG,7.3,4722,73,"Two women, black and white, in 1955 Montgomery Alabama, must decide what they are going to do in response to the famous bus boycott led by Martin Luther King.",,[],Drama, History,
22,22,tt0099472,https://m.media-amazon.com/images/M/MV5BMGY1NjdiMmItMmE5MS00NjllLWJmM2ItMmU1ZTRjMWYyZjc4XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_Ratio0.6763_AL_.jpg,DuckTales the Movie: Treasure of the Lost Lamp,1990,74 mins,"Animation, Adventure, Comedy","[{'key': 'Animation', 'value': 'Animation'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Comedy', 'value': 'Comedy'}]",G,6.8,28437,,"Scrooge McDuck takes Huey, Dewey, and Louie to Egypt to find a pyramid and magic lamp.",,[],Animation, Adventure, Comedy
23,23,tt0099816,https://m.media-amazon.com/images/M/MV5BNWFiMTY1ZTItNDkwYS00MzE0LWIwYjktNWE3OWY3OGNmZjE1XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_Ratio0.6763_AL_.jpg,Shipwrecked,1990,92 mins,"Adventure, Family","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Family', 'value': 'Family'}]",PG,6.5,3093,,A young Norwegian boy in 1850s England goes to work as a cabin boy and discovers some of his shipmates are actually pirates.,,[],Adventure, Family,
24,24,tt0099512,https://m.media-amazon.com/images/M/MV5BYTU3MzYyYTEtYWI1NS00MTJlLWE3NDMtYzI4ODUzMGY1ODk1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_Ratio0.6763_AL_.jpg,Ernest Goes to Jail,1990,81 mins,"Comedy, Crime, Family","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Crime', 'value': 'Crime'}, {'key': 'Family', 'value': 'Family'}]",PG,5.4,10010,40,Ernest P. Worrell is a bank janitor sent to jail when people mistake his identity for a look-alike.,,[],Comedy, Crime, Family
25,25,tt0100928,https://m.media-amazon.com/images/M/MV5BMzNiYjliMTQtNDFlMi00NzhjLThhYWYtZDgzOWJiYjdiZDk5XkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_Ratio0.6763_AL_.jpg,White Hunter Black Heart,1990,112 mins,"Adventure, Drama","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Drama', 'value': 'Drama'}]",PG,6.5,13069,66,"A thinly fictionalized account of a legendary movie director, whose desire to hunt down an animal turns into a grim situation with his movie crew in Africa.",,[],Adventure, Drama,
26,26,tt0099018,https://m.media-amazon.com/images/M/MV5BOGNmNzA5NzgtYjIxZC00MTkxLWJmNzYtYWIyNDY1Y2QzYzFmXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_Ratio0.6763_AL_.jpg,Almost an Angel,1990,95 mins,"Comedy, Drama","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Drama', 'value': 'Drama'}]",PG,5.5,4912,,A small-time crook becomes convinced he is an angel after a traumatic incident and resolves to perform the work of one.,,[],Comedy, Drama,
27,27,tt0099878,https://m.media-amazon.com/images/M/MV5BMGQ3MGRhZTAtZDEwYy00NjBhLTkzNDktYzY4M2JjZDQxMmRhXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_Ratio0.6763_AL_.jpg,Jetsons: The Movie,1990,82 mins,"Animation, Comedy, Family","[{'key': 'Animation', 'value': 'Animation'}, {'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Family', 'value': 'Family'}]",G,5.5,5624,46,George Jetson is forced to uproot his family when Mr. Spacely promotes him to take charge of a new factory on a distant planet.,,[],Animation, Comedy, Family
28,28,tt0100791,https://m.media-amazon.com/images/M/MV5BMzFjNmNmZmYtOTNkZS00ZjBmLTg2MjgtOTYzZDlhMDBmZjgwXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_Ratio0.6763_AL_.jpg,To Sleep with Anger,1990,102 mins,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",PG,7.2,2871,,"A charismatic old acquaintance drifts into town, stirring up trouble for a mild-mannered family.",,[],Drama,,
29,29,tt0099669,https://m.media-amazon.com/images/M/MV5BNzhmN2E0OGItODNjYy00NTlmLTliOWQtOWNjZDQ2MjViOTcwXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_Ratio0.7536_AL_.jpg,My Father's Glory,1990,105 mins,"Adventure, Biography, Drama","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Biography', 'value': 'Biography'}, {'key': 'Drama', 'value': 'Drama'}]",G,7.6,6960,,"At the end of the nineteenth century, little Marcel lives with his parents in the Provence countryside. During his holiday, Marcel meets Lili, a local boy who knows all the secrets of the hills, and the two become fast friends.",,[],Adventure, Biography, Drama
30,30,tt0097106,https://m.media-amazon.com/images/M/MV5BMDMzYTc4ZDctZTgyYi00YjNlLWEzMDgtMGEyYTEwOGVlMjc3XkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_Ratio0.7536_AL_.jpg,A Tale of Springtime,1990,108 mins,"Comedy, Drama, Romance","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'Romance', 'value': 'Romance'}]",PG,7.1,5589,,"Simple conversations engender complicated human interactions. Jeanne is open and even-tempered, a philosophy teacher at a lycée. Her fiancé is away and she doesn't want to stay at his messy flat; she's loaned hers to a cousin, so she accepts the invitation of Natasha, a music student whom she meets at a party, to sleep in her father Igor's bedroom because he's always with his young girlfriend, Eve. Natasha tells Jeanne a story of a missing necklace and her suspicions of Eve. They all meet at dinner, then again at Igor's country house. Is Natasha scheming to get Igor and Jeanne together alone? Once alone, what determines how they choose to act? And the necklace, what of it?",,[],Comedy, Drama, Romance
31,31,tt0099969,https://m.media-amazon.com/images/M/MV5BM2RlNWFmYjgtYTM2MS00YmIwLTg5N2YtYmI2M2ViYTM3YzgzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6763_AL_.jpg,Lambada,1990,104 mins,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",PG,3.4,1174,,"Kevin Laird is a Beverly Hills school teacher by day and a mystery man by night. Using his lambada dance moves to first earn the kid's respect and acceptance, Kevin then teaches them academics. But when a jealous student exposes Kevin's double life, his two worlds collide, threatening his job and reputation.",,[],Drama,,
32,32,tt0099654,https://m.media-amazon.com/images/M/MV5BNzUxYmZlNzctYjZlNy00YTQzLWFiM2UtY2UxOGY4MDYyMjExXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_Ratio0.6763_AL_.jpg,Ghost Dad,1990,83 mins,"Comedy, Family, Fantasy","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Family', 'value': 'Family'}, {'key': 'Fantasy', 'value': 'Fantasy'}]",PG,4.4,8397,,A widowed father tries to support his children after he becomes a ghost in an accident.,,[],Comedy, Family, Fantasy
33,33,tt0100666,https://m.media-amazon.com/images/M/MV5BNjQyNjRkNWYtYzA5OC00ZGRiLThmYjEtZjJmNzlmZWI2ZDFiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_Ratio0.6763_AL_.jpg,Spaced Invaders,1990,100 mins,"Adventure, Comedy, Sci-Fi","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Sci-Fi', 'value': 'Sci-Fi'}]",PG,5.3,3902,38,"Dimwitted Martians drop into a little Illinois town on the day that the local radio station happens to rebroadcast Orson Welles 1938 ""War Of The Worlds"".",,[],Adventure, Comedy, Sci-Fi
34,34,tt0109912,https://m.media-amazon.com/images/M/MV5BYjI1MmQ1OTUtMGM3ZS00YjYxLWI2YjYtNWQ4Y2JmYzBkYWM1XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_Ratio0.6763_AL_.jpg,A Gnome Named Gnorm,1990,84 mins,"Adventure, Family, Fantasy","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Family', 'value': 'Family'}, {'key': 'Fantasy', 'value': 'Fantasy'}]",PG,4.4,1364,,A Los Angeles police detective partners up with a talking gnome in order to bring down the head of a crime ring.,,[],Adventure, Family, Fantasy
35,35,tt0099266,https://m.media-amazon.com/images/M/MV5BMTZjYWQxYzgtYzE1YS00NDY4LWE0ZWEtYzRmNGYwZmMzNTc2XkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_Ratio0.7246_AL_.jpg,My Mother's Castle,1990,98 mins,"Adventure, Biography, Comedy","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Biography', 'value': 'Biography'}, {'key': 'Comedy', 'value': 'Comedy'}]",PG,7.6,5574,,"Every holiday Marcel and his family go to their cottage near Marseilles. During one of these holidays he meets Isabelle, a pretty but conceited girl... Adapted from the cult classic novel from Marcel Pagnol.",,[],Adventure, Biography, Comedy
36,36,tt0100151,https://m.media-amazon.com/images/M/MV5BY2JmZjFiODQtNTdhNC00MDg2LWJiNDItYzU0OWIzM2NlYjE5XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_Ratio0.6763_AL_.jpg,Mindwalk,1990,112 mins,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",PG,7.6,3226,,"Philosophical conversations between a poet, politician, and scientist.",,[],Drama,,
37,37,tt0102993,https://m.media-amazon.com/images/M/MV5BMTFlMzRiNWMtOGE5ZS00MGMyLWJmYWItNTVkOTc5ZDIyNjNhXkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_Ratio0.6763_AL_.jpg,Strangers in Good Company,1990,101 mins,"Adventure, Drama","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Drama', 'value': 'Drama'}]",PG,7.7,1264,,"A busload of women become stranded in an isolated part of the Canadian countryside. As they await rescue, they reflect on their lives.",,[],Adventure, Drama,
38,38,tt0097115,https://m.media-amazon.com/images/M/MV5BOTI4YmMxYWYtOTNiOS00ZTVlLTgyNjUtNDhhMTk0YTE0ZTU1XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_Ratio0.6763_AL_.jpg,Courage Mountain,1990,94 mins,"Adventure, Drama, Family","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'Family', 'value': 'Family'}]",PG,5.7,912,,"In this version of ""Heidi,"" a young Swiss girl is sent off to boarding school at the beginning of World War I.",,[],Adventure, Drama, Family
39,39,tt0099564,https://m.media-amazon.com/images/M/MV5BMTdiMDFiYjItMTI2Yi00MTQzLTg4ZjMtZjY1ZDQzYzdmMTI0XkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_Ratio0.6763_AL_.jpg,"Feuer, Eis & Dynamit",1990,106 mins,"Action, Comedy, Sport","[{'key': 'Action', 'value': 'Action'}, {'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Sport', 'value': 'Sport'}]",PG,3.9,1091,,A tycoon's children and creditors compete for his money in an athletic contest.,,[],Action, Comedy, Sport
40,40,tt0099341,https://m.media-amazon.com/images/M/MV5BMDIwYTcwYjAtOTEyNi00Njc5LTkyNTItOWJjZTIwYmIzNzJkXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_Ratio0.6957_AL_.jpg,Daddy Nostalgia,1990,105 mins,"Drama, Romance","[{'key': 'Drama', 'value': 'Drama'}, {'key': 'Romance', 'value': 'Romance'}]",PG,6.9,834,,"A retired English businessman has just been through heart surgery but it has, apparently, done little to relieve his constant pain or improve his long-term survival prospects.",,[],Drama, Romance,
41,41,tt0101707,https://m.media-amazon.com/images/M/MV5BYzFkMTkwNTYtYTZjNy00NTA1LTkxNDUtNjFmNzVkOGU1NDFmXkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_Ratio0.7536_AL_.jpg,Denial,1990,103 mins,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",R,5,297,,"Michael and Sara end their turbulent love affair to avoid destruction, with Michael calling Sara his 'sickness'. Sara, or Loon, as her friends call her, tries to start anew and move on from the troubled relationship.",,[],Drama,,
42,42,tt0100470,https://m.media-amazon.com/images/M/MV5BODFlMDRmYWQtOWVlOS00OTQ3LTgyNzQtODc1M2VlMTNjNzZkXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_Ratio0.7053_AL_.jpg,Journey of Hope,1990,105 mins,"Adventure, Drama","[{'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Drama', 'value': 'Drama'}]",PG,7.5,2220,,The story of a poor Turkish family who try to emigrate illegally to Switzerland.,,[],Adventure, Drama,
43,43,tt0103150,https://m.media-amazon.com/images/M/MV5BODI4NzY0NmYtZjc4NC00NDZlLWE5YjMtNjJjYmE5ZThmNjg5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.7150_AL_.jpg,Escape from the 'Liberty' Cinema,1990,92 mins,"Comedy, Drama, Fantasy","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'Fantasy', 'value': 'Fantasy'}]",PG,7.1,1170,,"During the screening of the film ""Daybreak"" at the Liberty Cinema, movie characters suddenly come alive and begin to talk to the viewers. The situation surprises communist authorities who send a censor to the theatre.",,[],Comedy, Drama, Fantasy
44,44,tt0101951,https://m.media-amazon.com/images/M/MV5BZDA0NTM5MzgtYWYzMS00MGYzLWI3NGUtMzQ5NmI0YzYzMzg4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_Ratio0.6763_AL_.jpg,The Giant of Thunder Mountain,1990,94 mins,"Drama, Family, Western","[{'key': 'Drama', 'value': 'Drama'}, {'key': 'Family', 'value': 'Family'}, {'key': 'Western', 'value': 'Western'}]",PG,5.9,315,,A reclusive giant who lives on Thunder Mountain is falsely accused and pursued by people of a small western frontier town for kidnapping three children of the town.,,[],Drama, Family, Western
45,45,tt0100708,https://m.media-amazon.com/images/M/MV5BYTZlOTQ5ZWYtYTgyYS00M2NiLWI2MTctNjA1NDFkODM3OWVmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_Ratio0.6763_AL_.jpg,Strike It Rich,1990,87 mins,Comedy,"[{'key': 'Comedy', 'value': 'Comedy'}]",PG,4.8,199,,A London accountant on his honeymoon gets swept away by gambling fever.,,[],Comedy,,
46,46,tt0097668,https://m.media-amazon.com/images/M/MV5BMTkxNDIyNzkxMV5BMl5BanBnXkFtZTgwMDYzOTQ2MTE@._V1_Ratio0.7440_AL_.jpg,King of the Wind,1990,103 mins,Adventure,"[{'key': 'Adventure', 'value': 'Adventure'}]",PG,6.4,218,,"In 1727, an Arab colt is born with the signs of the wheat ear and the white spot on his heel, evil and good and thus begins the life of Sham.",,[],Adventure,,
